GO:0000034~adenine deaminase activity	add,
GO:0015116~sulfate transmembrane transporter activity	BPSS2285,BPSL1878,BPSL1202,
GO:0015128~gluconate transmembrane transporter activity	BPSS2133,BPSL2930,
GO:0015129~lactate transmembrane transporter activity	glcA,
GO:0015159~polysaccharide transmembrane transporter activity	wcbC,BPSS1831,BPSS0417,BPSL2780,BPSL0619,
GO:0015185~gamma-aminobutyric acid transmembrane transporter activity	BPSL3065,
GO:0015205~nucleobase transmembrane transporter activity	BPSS0601,BPSL2540,BPSL1136,BPSL0817,BPSL0282,
GO:0015209~cytosine transmembrane transporter activity	BPSS0759,BPSS0193,
GO:0015221~lipopolysaccharide transmembrane transporter activity	BPSL0536,
GO:0015232~heme transmembrane transporter activity	BPSS0244,
GO:0015250~water channel activity	aqpZ,
GO:0015267~channel activity	aqpZ,glpF,
GO:0015276~ligand-gated ion channel activity	glnH,BPSL1867,
GO:0015288~porin activity	BPSS2306,BPSS2289,BPSS2202,BPSS2160,BPSS2064,BPSS1679,BPSS0979,BPSS0943,BPSS0893,BPSS0879,BPSS0873,BPSS0783,BPSS0757,BPSS0747,BPSS0708,BPSS0701,BPSS0562,BPSS0265,BPSS0252,BPSS0146,BPSL3036,BPSL2559,ompA,BPSL1728,BPSL1674,BPSL1655,BPSL1397,BPSL1304A,BPSL1029,BPSL0619,BPSL0326,BPSL0294,BPSL0289,BPSL0044,BPSL0041,
GO:0015293~symporter activity	BPSS2058,mntH,BPSS0295,BPSL3157,dctA,BPSL1851,
GO:0015297~antiporter activity	BPSS1880,BPSS1433,norM,BPSL1489,BPSL1378,BPSL0357,
GO:0015299~solute:proton antiporter activity	BPSS2210,BPSS1880,BPSS1222,BPSS1178,BPSS1005,BPSL1616,BPSL0539,BPSL0357,BPSL0002,
GO:0015343~siderophore transmembrane transporter activity	BPSS0368,
GO:0015344~siderophore uptake transmembrane transporter activity	BPSS1204,BPSS1029,fptA,BPSL2724,BPSL1775,
GO:0015408~ABC-type ferric iron transporter activity	BPSS0702,BPSS0248,BPSL1276,
GO:0015415~ATPase-coupled phosphate ion transmembrane transporter activity	pstB,
GO:0015416~ABC-type phosphonate transporter activity	phnC,phnE,
GO:0015417~ABC-type polyamine transporter activity	potG,
GO:0015419~ABC-type sulfate transporter activity	sbp,cysT,cysW,cysA,
GO:0015420~ABC-type vitamin B12 transporter activity	cobD,cobQ,
GO:0015424~ABC-type amino acid transporter activity	glnQ,hisP,gltL,BPSL2617,
GO:0015430~ABC-type glycerol-3-phosphate transporter activity	ugpC,
GO:0015444~P-type magnesium transporter activity	mgtB,
GO:0015450~protein-transporting ATPase activity	secF,secD,secG,
GO:0015473~fimbrial usher porin activity	BPSS0120,BPSS0093,BPSL2027,BPSL1800,BPSL1628,BPSL1007,
GO:0015562~efflux transmembrane transporter activity	BPSS1936,BPSS1929,BPSS0540,BPSS1287,BPSS1120,czcC,oprM,BPSS0623,BPSS0455,BPSS0294,BPSS0293,BPSL3094,BPSL2022,BPSL1972,BPSL1913,amrB,BPSL1802,BPSL1660,BPSL1566,oprB,bpeB,BPSL0307,BPSL0019,
GO:0015572~N-acetylglucosamine transmembrane transporter activity	BPSL0499,
GO:0015611~ABC-type D-ribose transporter activity	rbsA,
GO:0015612~ABC-type L-arabinose transporter activity	araG,
GO:0015648~lipid-linked peptidoglycan transporter activity	amj,murJ,
GO:0015655~alanine:sodium symporter activity	BPSL3157,
GO:0015658~branched-chain amino acid transmembrane transporter activity	braG,braE,BPSL3414,BPSL3410,BPSL2653,BPSL1999,BPSL0923,BPSL0921,BPSL0048,
GO:0015925~galactosidase activity	BPSS2081,
GO:0015927~trehalase activity	treA,
GO:0015930~glutamate synthase activity	glt1,BPSL2890,
GO:0016034~maleylacetoacetate isomerase activity	BPSL0513,
GO:0016041~glutamate synthase (ferredoxin) activity	glt1,
GO:0016149~translation release factor activity, codon specific	prfA,prfB,
GO:0016151~nickel cation binding	ureG,ureF,ureE,ureC,ureA,ureD,
GO:0016153~urocanate hydratase activity	hutU,
GO:0016154~pyrimidine-nucleoside phosphorylase activity	deoA,
GO:0016159~muconolactone delta-isomerase activity	catC,
GO:0016208~AMP binding	acsA,
GO:0016209~antioxidant activity	ahpC,BPSL3019,tpx,BPSL2748,ahpD,BPSL2096,BPSL1467,BPSL1264,
GO:0016223~beta-alanine-pyruvate transaminase activity	BPSS0742,
GO:0016298~lipase activity	BPSS0067,acpA,plcN2,
GO:0016301~kinase activity	wcbL,coaE,irlS,BPSS2345,BPSS2314,BPSS2246,BPSS2026,irlS2,BPSS1978,BPSS1957,ackA,BPSS1940,cysC,BPSS1876,BPSS1871,BPSS1830,thrB,BPSS1646,BPSS1605,BPSS1495,BPSS1460,BPSS1416,BPSS1360,BPSS1358,BPSS1281,xylB,BPSS1160,thiM,BPSS1104,BPSS0990,rbsK,BPSS0813,BPSS0706,BPSS0687,BPSS0642,selD,BPSS0261,BPSS0260,pyk,glxK,BPSS0117,BPSS0062,BPSL3427,cheA,aroK,proB,BPSL2988,BPSL2971,thiL,BPSL2929,anmK,nadK,BPSL2823,BPSL2822,BPSL2778,BPSL2696,glk,gmk,cmk,pdxY,BPSL2313,BPSL2302,ask,BPSL2216,thiD,pyrH,BPSL2143,ppsA,BPSL2095,BPSL2025,BPSL1994,BPSL1983,relA,arcC,BPSL1719,BPSL1634,BPSL1613,BPSL1575,BPSL1539,ndk,tmk,BPSL1401,ppk,BPSL1365,BPSL1253,BPSL1189,kdpD,BPSL1037,BPSL0986,BPSL0907,lpxK,adk,dalK,BPSL0828,scrK,BPSL0818,BPSL0807,pykA,pgk,BPSL0774,BPSL0732,BPSL0703,glpK,ubiB,hprK,ispE,prs,BPSL0499,BPSL0498,BPSL0440,BPSL0438,coaX,aceK,BPSL0320,srkA,BPSL0201,argB,BPSL0190,BPSL0127,BPSL0039,
GO:0016407~acetyltransferase activity	BPSS0916,
GO:0016410~N-acyltransferase activity	lpxD,lnt,
GO:0016412~serine O-acyltransferase activity	BPSS1344,BPSS0038,BPSL2775,BPSL2248,
GO:0016415~octanoyltransferase activity	lipB,
GO:0016419~S-malonyltransferase activity	BPSS1004,BPSS0300,fabD,
GO:0016433~rRNA (adenine) methyltransferase activity	rsmA,
GO:0016437~tRNA cytidylyltransferase activity	cca,
GO:0016462~pyrophosphatase activity	BPSL2446,lpxH,guaA,BPSL1159,
GO:0016491~oxidoreductase activity	BPSS0925,rmlD,ispH2,mdh,ribD,BPSS2348,BPSS2346,BPSS2328,BPSS2326,BPSS2299,BPSS2298,BPSS2294,BPSS2293,BPSS2287,BPSS2284,BPSS2279,bkdA1,bkdA2,lpdV,BPSS2265,BPSS2264,sdhB,BPSS2257,BPSS2242,BPSS2238,katE,lldA,BPSS2114,BPSS2068,BPSS2065,BPSS2040,BPSS2037,BPSS2032,BPSS2030,BPSS2029,BPSS2024,BPSS1969,BPSS1968,adhA,BPSS1918,phbB,benD,benC,benB,benA,fadH,cyoA,cyoB,cyoC,catA,BPSS1888,BPSS1887,BPSS1885,BPSS1878,BPSS1857,BPSS1854,BPSS1853,BPSS1852,BPSS1839,udg2,mhpF,BPSS1800,ndh,gnd,BPSS1731,sdhA,aceE,BPSS1708,leuB,asd,BPSS1672,fdoG,BPSS1654,poxB,BPSS1631,tauD,BPSS1571,BPSS1567,mdlB,folE,BPSS1487,rspB,BPSS1476,BPSS1470,BPSS1466,BPSS1464,BPSS1448,BPSS1427,BPSS1415,soxB,soxD,soxA,soxG,folB,BPSS1362,betA,betB,BPSS1332,BPSS1318,pcaG,pcaH,BPSS1278,BPSS1273,BPSS1272,BPSS1259,BPSS1258,BPSS1256,nirB,BPSS1242,BPSS1241,BPSS1235,BPSS1221,BPSS1206,BPSS1196,BPSS1165,narG,narI,BPSS1136,BPSS1125,BPSS1110,ald,katB,BPSS0976,BPSS0969,BPSS0936,BPSS0926,BPSS0919,BPSS0906,BPSS0904,nadX,BPSS0901,BPSS0897,BPSS0896,BPSS0890,BPSS0877,feaB,BPSS0866,BPSS0864,BPSS0851,BPSS0844,BPSS0843,BPSS0840,BPSS0824,BPSS0822,BPSS0811,BPSS0794,BPSS0792,BPSS0780,BPSS0764,BPSS0743,BPSS0725,BPSS0721,BPSS0720,BPSS0700,hpcB,hpcC,BPSS0686,BPSS0680,BPSS0679,BPSS0665,mmsB,mmsA,BPSS0617,BPSS0612,BPSS0608,BPSS0607,BPSS0574,BPSS0572,lcdH,BPSS0555,BPSS0554,BPSS0550,fdhA,BPSS0512,BPSS0495,ahpC,ahpF,BPSS0479,BPSS0473,BPSS0462,BPSS0461,BPSS0456,cpo,BPSS0434,BPSS0404,BPSS0354,BPSS0349,aroE,BPSS0335,BPSS0334,BPSS0333,BPSS0329,BPSS0328,BPSS0314,BPSS0309,BPSS0307,BPSS0305,gabD,BPSS0278,BPSS0259,BPSS0258,BPSS0165,BPSS0164,BPSS0161,BPSS0156,dadA,BPSS0139,pobA,BPSS0039,BPSS0034,BPSS0023,BPSS0021,BPSS0017,BPSS0011,tdh,BPSL3429,phhA,msdA,putA,BPSL3386,acoD,gcvP,BPSL3339,BPSL3329,BPSL3327,metF,BPSL3253,argC,BPSL3245,BPSL3242,BPSL3241,BPSL3239,paaE,dsbD,msrP,glt1,glt2,thiO,hisD,petA,petB,BPSL3081,BPSL3077,hemA,BPSL3059,azoR,paaZ,BPSL3038,coq7,BPSL3019,BPSL2992,nrdB,tpx,BPSL2981,BPSL2969,BPSL2965,maeB,gapA,dapB,proA,BPSL2934,BPSL2925,BPSL2900,dusB,BPSL2893,pntAA,pntAB,pntB,proC,glcE,glcD,BPSL2842,hmpA,wcbP,wcbR,BPSL2759,BPSL2748,BPSL2747,hmgA,BPSL2735,ldhA,xdhA,xdhB,BPSL2719,BPSL2701,hemN,zwf,trxB,dsbB,fdsA,aroA,udg,BPSL2498,BPSL2476,BPSL2459,fabG,BPSL2405,astD,BPSL2366,BPSL2357,BPSL2356,BPSL2350,BPSL2329,BPSL2322,BPSL2312,narH,folD,pdhA,BPSL2299,BPSL2227,BPSL2222,fpr,BPSL2207,fabI,gpo,dxr,guaB,BPSL2109,ahpD,BPSL2096,fabV,BPSL2017,BPSL2002,BPSL1969,BPSL1967,BPSL1961,BPSL1960,BPSL1953,sucA,odhL,pyrD,ssuD,dusA,BPSL1790,BPSL1789,BPSL1785,BPSL1759,cobK,BPSL1746,BPSL1647,BPSL1614,nosZ,BPSL1591,tkrA,BPSL1560,BPSL1550,ispG,hom,BPSL1467,glxR,BPSL1430,BPSL1424,msrB,BPSL1415,BPSL1399,BPSL1325,BPSL1319,BPSL1316,BPSL1313,BPSL1264,serA,BPSL1234,BPSL1228,nuoN,nuoM,nuoL,nuoJ,BPSL1217,nuoF,BPSL1215,BPSL1208,ilvC,BPSL1186,qor,BPSL1167,hemF,trhO,BPSL1020,BPSL1019,cysH,cysI,BPSL0927,ispH1,nadB,BPSL0911,BPSL0897,icd,BPSL0892,BPSL0885,sodB,BPSL0874,murB,queG,pdxH,msrA,kynA,BPSL0844,BPSL0843,dalD,BPSL0826,flhA,BPSL0804,BPSL0723,BPSL0707,BPSL0693,glpD,pdxA,BPSL0649,BPSL0648,BPSL0634,queF,BPSL0512,BPSL0510,cydA,cydB,BPSL0488,BPSL0483,BPSL0480,BPSL0458,ctaD,BPSL0453,gpsA,BPSL0428,BPSL0421,BPSL0420,BPSL0419,BPSL0394,dsbA,BPSL0380,BPSL0379,BPSL0370,BPSL0356,BPSL0334,BPSL0315,silP,gor,BPSL0246,aidB,calB,adhC,BPSL0116,BPSL0071,BPSL0063,BPSL0061,BPSL0054,BPSL0051,mnmC,katG,
GO:0016597~amino acid binding	pyrB,arcB,argF,
GO:0016614~oxidoreductase activity, acting on CH-OH group of donors	BPSS2278,betA,BPSS0977,BPSS0976,BPSL3419,ldhA,zwf,tkrA,BPSL1257,serA,BPSL0728,BPSL0720,BPSL0696,BPSL0334,BPSL0224,BPSL0055,
GO:0016615~malate dehydrogenase activity	mdh,
GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	mdh,BPSS2264,adhA,BPSS1918,udg2,leuB,rspB,BPSS1415,BPSS1362,BPSS1259,BPSS1235,mmsB,lcdH,BPSS0011,BPSL3253,hisD,ldhA,udg,BPSL2459,BPSL2109,BPSL2002,tkrA,glxR,BPSL1424,BPSL1325,serA,icd,flhA,BPSL0649,gpsA,BPSL0419,adhC,BPSL0116,BPSL0063,
GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	BPSS2065,BPSS1878,mhpF,asd,BPSS1466,betB,BPSS0904,feaB,BPSS0780,BPSS0743,hpcC,mmsA,BPSS0607,BPSS0473,BPSS0349,BPSS0329,BPSS0307,gabD,BPSS0034,msdA,putA,acoD,argC,paaZ,gapA,proA,astD,BPSL1647,BPSL1550,BPSL1020,BPSL0843,calB,BPSL0051,
GO:0016624~oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	bkdA1,sucA,
GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors	BPSS2032,BPSS2029,BPSS1857,BPSS1720,BPSS1719,sdhA,BPSS1448,BPSS1273,BPSS1272,BPSS1036,BPSS0847,BPSS0685,BPSS0684,BPSS0617,BPSS0486,BPSS0317,BPSS0162,BPSL3386,BPSL2747,BPSL2498,BPSL2329,pyrD,BPSL1234,BPSL1229,BPSL1228,BPSL0648,BPSL0614,BPSL0483,BPSL0421,BPSL0420,aidB,BPSL0061,
GO:0016628~oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	BPSS1852,BPSS1258,BPSL1430,
GO:0016631~enoyl-[acyl-carrier-protein] reductase activity	BPSS0721,fabI,fabV,
GO:0016638~oxidoreductase activity, acting on the CH-NH2 group of donors	glt1,BPSL2890,pdxH,
GO:0016639~oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	nadX,glt2,BPSL2925,
GO:0016645~oxidoreductase activity, acting on the CH-NH group of donors	mnmC,
GO:0016646~oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor	BPSS2268,BPSS0447,BPSL1645,BPSL0850,
GO:0016651~oxidoreductase activity, acting on NAD(P)H	BPSS1143,nuoK,nuoI,BPSL1217,nuoD,nuoC,nuoA,
GO:0016652~oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor	azoR,
GO:0016653~oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	BPSL0461,
GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	azoR,nuoH,
GO:0016667~oxidoreductase activity, acting on a sulfur group of donors	msrP,
GO:0016668~oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	lpdV,ahpF,BPSS0139,BPSL2299,odhL,gor,
GO:0016671~oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	msrB,
GO:0016672~oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor	msrP,
GO:0016682~oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	cyoA,cyoB,
GO:0016684~oxidoreductase activity, acting on peroxide as acceptor	tpx,
GO:0016691~chloride peroxidase activity	cpo,
GO:0016701~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	BPSL3239,BPSL3077,
GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	catA,pcaG,pcaH,BPSL1313,BPSL1274,
GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	BPSS2327,BPSS2265,BPSS1708,BPSS1673,BPSS1672,BPSS1654,BPSS1206,BPSS1190,BPSS0851,BPSS0686,BPSS0626,BPSS0314,BPSS0023,BPSL2400,ssuD,BPSL1646,trhO,
GO:0016706~2-oxoglutarate-dependent dioxygenase activity	BPSS1206,
GO:0016709~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	BPSL3059,BPSL2893,
GO:0016714~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen	phhA,
GO:0016717~oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	BPSS2040,BPSS2037,BPSL0911,
GO:0016722~oxidoreductase activity, acting on metal ions	BPSL2863,
GO:0016726~oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor	dapB,
GO:0016740~transferase activity	pcaF,pmlI,BPSL2671,rmlA,wbiH,plsC,manC,wbiC,coaE,irlS,gspO,pdxJ,BPSS2340,BPSS2333,BPSS2329,BPSS2328,BPSS2320,BPSS2310,BPSS2309,BPSS2295,bkdB,BPSS2266,BPSS2255,BPSS2254,BPSS2253,BPSS2252,BPSS2251,BPSS2248,BPSS2244,rpoN,BPSS2211,tyrB2,BPSS2182,BPSS2171,BPSS2167,BPSS2157,BPSS2151,BPSS2062,BPSS2048,BPSS2035,BPSS2031,BPSS2015,glmS,irlS2,BPSS1965,deoA,BPSS1957,ackA,BPSS1955,BPSS1954,cysC,BPSS1882,BPSS1856,BPSS1835,BPSS1834,BPSS1830,BPSS1829,BPSS1828,BPSS1826,BPSS1825,BPSS1811,ilvE,thrB,polA,BPSS1766,ispA,dxs,tsaD,dnaG,cobB,gltA,BPSS1698,accD,purF,metZ,BPSS1684,gtaB,BPSS1675,selA,cat2,BPSS1635,hipA,bcsA,BPSS1570,BPSS1467,BPSS1465,BPSS1460,BPSS1459,BPSS1447,BPSS1416,BPSS1374,BPSS1356,BPSS1351,BPSS1349,BPSS1344,BPSS1336,BPSS1296,aroG,BPSS1288,BPSS1281,BPSS1269,BPSS1257,BPSS1245,xylB,BPSS1217,BPSS1216,pyrB,BPSS1197,BPSS1180,BPSS1173,BPSS1172,BPSS1170,BPSS1168,BPSS1151,thiM,BPSS1126,BPSS1109,BPSS1106,BPSS1105,BPSS1077,BPSS1009,BPSS1008,BPSS1007,BPSS1006,BPSS1004,BPSS0998,BPSS0984,BPSS0930,BPSS0916,BPSS0876,BPSS0869,rbsK,BPSS0826,tyrB1,BPSS0763,BPSS0742,BPSS0735,BPSS0714,BPSS0706,BPSS0687,BPSS0642,BPSS0640,BPSS0567,glyA2,BPSS0543,BPSS0539,BPSS0537,BPSS0536,BPSS0514,BPSS0513,BPSS0510,BPSS0509,phnW,fabH,BPSS0470,BPSS0468,BPSS0452,BPSS0428,BPSS0427,BPSS0426,BPSS0425,BPSS0424,BPSS0422,rfbF,tyrB,rlmJ,BPSS0311,BPSS0308,BPSS0306,BPSS0300,BPSS0297,selD,gabT,BPSS0277,BPSS0262,BPSS0232,BPSS0222,prpC,BPSS0192,BPSS0133,pyk,glxK,BPSS0108,pcaJ,pcaI,BPSS0038,BPSS0014,kbl,BPSL3430,BPSL3428,rsmG,BPSL3384,ilvG,gcvT,BPSL3328,BPSL3326,BPSL3324,BPSL3323,BPSL3312,cheA,cheR,rsmI,pyrE,rpoB,rpoC,rplB,rpoA,mrcA,aroK,thiG,thiE,murA,hisG,hisC2,BPSL3087,ubiX,prmC,trpD,paaJ,rsmH,mraY,ftsW,murG,argJ,ispB,proB,BPSL2996,BPSL2988,prmA,mtgA,thiL,BPSL2956,speE,tktA,BPSL2929,BPSL2907,BPSL2906,anmK,purH,BPSL2891,mnmA,tgt,queA,ubiA,phnN,BPSL2841,glnE,nadK,panB,BPSL2822,pcnB,miaA,wcbB,wcbE,wcbH,wcbM,wcbR,wcbT,BPSL2786,BPSL2781,BPSL2778,BPSL2775,BPSL2773,kdsA2,BPSL2769,glyA1,BPSL2732,BPSL2710,pyrR,wbiD,wbiE,wbiF,BPSL2669,BPSL2668,waaC1,waaA,BPSL2650,pcm,trmB,BPSL2641,BPSL2629,ribH,ribE,glk,BPSL2598,waaC2,rph,gmk,rpoZ,metE,BPSL2536,BPSL2535,BPSL2533,BPSL2525,ubiG,serC,aroA,cmk,cysM,trmD,thyA,BPSL2457,BPSL2455,mobA,BPSL2447,plsX,fabD,fabF,acpS,BPSL2421,BPSL2419,otsA,BPSL2408,pdxY,BPSL2399,argM,BPSL2389,BPSL2388,BPSL2345,BPSL2337,BPSL2335,argA,BPSL2313,dinB,pdhB,iscS,kdsA1,trmJ,BPSL2248,accA,ask,BPSL2218,BPSL2217,BPSL2196,aceB,rimI,thiD,clsA,prmB,dapD,BPSL2168,glnD,pyrH,uppS,BPSL2154,lpxD,lpxA,lpxB,BPSL2144,BPSL2143,BPSL2141,ppsA,ispD,BPSL2095,BPSL2090,BPSL2079,glgB,glgE,BPSL1994,galU,scoA,scoB,relA,sucB,BPSL1880,rlmB,bpt,aat,cobO,cobJ,cobI,cobL,cbiD,cobM,BPSL1749,arcC,arcB,BPSL1736,BPSL1724,BPSL1722,BPSL1719,BPSL1713,BPSL1711,BPSL1667,BPSL1666,BPSL1613,BPSL1608,BPSL1575,BPSL1540,rimO,phbA,phbC,BPSL1533,BPSL1525,rlmN,ndk,rlmD,BPSL1501,dnaX,moeA,BPSL1476,BPSL1474,BPSL1471,BPSL1444,BPSL1438,tmk,BPSL1432,BPSL1426,selO,BPSL1417,BPSL1401,ppk,folP,rlmE,dnaQ,BPSL1338,BPSL1335,mdcB,BPSL1329,BPSL1239,BPSL1238,BPSL1235,pnp,leuA,BPSL1200,ilvH,ilvI,BPSL1190,BPSL1189,BPSL1183,kdpD,upp,nadD,rlmH,BPSL1124,BPSL1123,BPSL1122,BPSL1120,dnaE,purT,tal,BPSL1083,BPSL1037,BPSL1016,hemC,BPSL0997,BPSL0986,cobC,cobS,cobT,lgt,BPSL0961,cysN,cysD,BPSL0948,argD,BPSL0925,nadC,nadA,BPSL0909,purN,BPSL0907,lpxK,kdsB,adk,argF,plsY,BPSL0862,dalK,scrK,BPSL0807,BPSL0802,pykA,pgk,waaF,BPSL0774,kptA,BPSL0718,BPSL0717,BPSL0692,glpK,BPSL0684,miaB,lnt,BPSL0665,rsmA,BPSL0656,BPSL0650,clsB,BPSL0641,ubiB,ubiE,BPSL0620,BPSL0618,BPSL0607,BPSL0604,apt,hprK,ispE,prs,hisC1,coaD,BPSL0515,BPSL0509,BPSL0508,BPSL0499,BPSL0498,BPSL0476,dnaE2,ctaB,bioC,trmL,BPSL0440,BPSL0438,BPSL0431,dctB,BPSL0416,lipB,BPSL0409,coaX,BPSL0395,metH2,metH1,aceK,BPSL0371,bioA,bioF,bioB,BPSL0320,BPSL0317,ttcA,glmU,BPSL0293,cca,srkA,metK,BPSL0211,BPSL0207,BPSL0201,argB,metXS,BPSL0190,gatC,rodA,BPSL0157,BPSL0130,BPSL0127,sun,fmt,BPSL0100,speG,dnaN,BPSL0062,BPSL0042,BPSL0039,mnmC,lipA,
GO:0016741~transferase activity, transferring one-carbon groups	BPSS1106,thyA,
GO:0016742~hydroxymethyl-, formyl- and related transferase activity	purU,BPSL1774,BPSL1722,purT,purN,fmt,
GO:0016743~carboxyl- or carbamoyltransferase activity	accD,pyrB,accA,arcB,argF,
GO:0016744~transketolase or transaldolase activity	tktA,
GO:0016746~acyltransferase activity	pcaF,plsC,BPSS2328,bkdB,BPSS1955,BPSS1954,tsaD,gltA,BPSS1288,BPSS1269,BPSS1197,BPSS1173,BPSS1172,BPSS1170,BPSS1009,BPSS1008,BPSS1007,BPSS1006,BPSS1002,BPSS0998,fabH,BPSS0483,BPSS0482,BPSS0311,BPSS0306,BPSS0300,BPSS0262,prpC,kbl,BPSL3326,BPSL3324,BPSL3242,BPSL3087,paaJ,argJ,maeB,wcbR,BPSL2775,fabD,fabF,BPSL2388,argA,pdhB,BPSL2248,aceB,rimI,dapD,lpxD,lpxA,BPSL1963,sucB,bpt,aat,BPSL1540,phbA,phbC,BPSL1426,lnt,BPSL0665,BPSL0650,BPSL0487,BPSL0484,BPSL0416,lipB,BPSL0377,BPSL0371,glmU,BPSL0211,metXS,speG,BPSL0062,
GO:0016747~acyltransferase activity, transferring groups other than amino-acyl groups	pcaF,wbiA,tsaD,BPSS1754,BPSS1687,BPSS1683,BPSS1681,BPSS0998,BPSS0268,BPSL3374,BPSL3087,paaJ,plsX,fabF,BPSL2220,lpxD,BPSL1936,BPSL1540,phbA,BPSL1426,BPSL0650,BPSL0377,BPSL0371,metXS,BPSL0062,
GO:0016756~glutathione gamma-glutamylcysteinyltransferase activity	BPSL2141,
GO:0016757~glycosyltransferase activity	BPSL2671,wbiH,BPSS2304,BPSS2255,BPSS2252,BPSS2251,BPSS2244,deoA,BPSS1826,BPSS1825,purF,BPSS1684,bcsA,BPSS1491,BPSS0816,BPSS0543,BPSS0537,BPSS0536,BPSS0426,BPSS0425,BPSS0238,BPSS0144,BPSL3312,pyrE,mrcA,hisG,trpD,ftsW,murG,BPSL2996,mtgA,tgt,wcbB,wcbE,wcbH,BPSL2773,pyrR,waaC1,waaC2,BPSL2533,BPSL2421,otsA,BPSL2408,BPSL2399,lpxB,BPSL2104,BPSL2079,glgB,glgE,BPSL1667,BPSL1666,BPSL1525,BPSL1474,BPSL1444,BPSL1190,upp,BPSL1123,BPSL1122,BPSL1120,BPSL1119,cobT,nadC,waaF,BPSL0719,BPSL0620,BPSL0607,BPSL0604,apt,BPSL0509,BPSL0293,rodA,
GO:0016758~hexosyltransferase activity	BPSS2184,BPSS2183,BPSS1351,BPSS0537,murG,glgE,
GO:0016759~cellulose synthase activity	bcsA,BPSS0735,
GO:0016760~cellulose synthase (UDP-forming) activity	bcsA,
GO:0016763~pentosyltransferase activity	deoA,hisH,mtgA,tgt,nadC,
GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	BPSS2340,metZ,BPSS0984,BPSS0190,murA,ubiA,aroA,cysM,uppS,nadA,BPSL0684,ctaB,
GO:0016767~geranylgeranyl-diphosphate geranylgeranyltransferase activity	BPSS2340,BPSL2090,
GO:0016769~transferase activity, transferring nitrogenous groups	pdxJ,
GO:0016772~transferase activity, transferring phosphorus-containing groups	waaE,irlS,BPSS2345,BPSS2246,irlS2,BPSS1957,BPSS1940,BPSS1871,BPSS1646,BPSS1605,BPSS1495,BPSS1360,rbsK,BPSS0813,BPSS0706,BPSS0687,BPSS0642,BPSS0631,BPSS0261,BPSS0117,BPSS0062,BPSL3427,cheA,BPSL2988,glnL,BPSL2302,BPSL2154,BPSL2143,ppsA,BPSL2095,BPSL2025,BPSL1994,BPSL1983,BPSL1634,BPSL1575,BPSL1539,BPSL1365,kdpD,BPSL1037,scrK,BPSL0807,BPSL0774,kptA,BPSL0732,BPSL0703,BPSL0498,BPSL0440,dctB,BPSL0320,BPSL0201,BPSL0127,BPSL0039,
GO:0016773~phosphotransferase activity, alcohol group as acceptor	waaE,BPSS2026,BPSS1957,xylB,BPSL2988,anmK,BPSL1994,rbsK,BPSL1575,dalK,BPSL0818,glpK,BPSL0395,BPSL0320,
GO:0016774~phosphotransferase activity, carboxyl group as acceptor	ackA,
GO:0016776~phosphotransferase activity, phosphate group as acceptor	BPSL2143,adk,BPSL0190,
GO:0016779~nucleotidyltransferase activity	waaE,rmlA,manC,rpoN,BPSS2211,BPSS1835,polA,dnaG,gtaB,BPSS0452,rfbF,rpoB,rpoC,rpoA,glnE,pcnB,wcbM,BPSL2769,rph,rpoZ,spoT,dinB,BPSL2217,glnD,BPSL2154,ispD,galU,relA,dnaX,BPSL1437,selO,dnaQ,BPSL1333,pnp,nadD,rsfS,BPSL1138,dnaE,cysN,cysD,BPSL0907,kdsB,BPSL0802,BPSL0656,coaD,dnaE2,BPSL0395,glmU,cca,BPSL0130,dnaN,
GO:0016780~phosphotransferase activity, for other substituted phosphate groups	BPSL2671,wbiH,BPSS0513,BPSL2419,clsA,BPSL1200,clsB,
